,0,class_label,target_label
768,0.603,0,1
769,0.575,0,1
770,0.701,0,1
771,0.761,0,1
772,0.572,0,1
773,0.68,0,1
774,0.789,0,1
775,0.732,0,1
776,0.581,0,1
777,0.61,0,1
778,0.634,0,1
779,0.171,0,1
780,0.885,0,1
781,0.803,0,1
782,0.882,0,1
783,0.676,0,1
784,0.646,0,1
785,0.106,0,1
786,0.636,0,1
787,0.791,0,1
788,0.593,0,1
789,0.563,0,1
790,0.806,0,1
791,0.31,0,1
792,0.703,0,1
793,0.764,0,1
794,0.725,0,1
795,0.822,0,1
796,0.608,0,1
797,0.705,0,1
798,0.617,0,1
799,0.615,0,1
800,0.777,0,1
801,0.638,0,1
802,0.627,0,1
803,0.398,0,1
804,0.891,0,1
805,0.902,0,1
806,0.718,0,1
807,0.659,0,1
808,0.779,0,1
809,0.76,0,1
810,0.459,0,1
811,0.886,0,1
812,0.876,0,1
813,0.684,0,1
814,0.642,0,1
815,0.139,0,1
816,0.821,0,1
817,0.823,0,1
818,0.585,0,1
819,0.718,0,1
820,0.724,0,1
821,0.146,0,1
822,0.74,0,1
823,0.902,0,1
824,0.881,0,1
825,0.647,0,1
826,0.837,0,1
827,0.751,0,1
828,0.64,0,1
829,0.829,0,1
830,0.81,0,1
831,0.734,0,1
832,0.678,0,1
833,0.849,0,1
834,0.897,0,1
835,0.896,0,1
836,0.765,0,1
837,0.933,0,1
838,0.784,0,1
839,0.952,0,1
840,0.826,0,1
841,0.301,0,1
842,0.134,0,1
843,0.789,0,1
844,0.608,0,1
845,0.711,0,1
846,0.503,0,1
847,0.466,0,1
848,0.653,0,1
849,0.653,0,1
850,0.712,0,1
851,0.318,0,1
852,0.756,0,1
853,0.824,0,1
854,0.477,0,1
855,0.473,0,1
856,0.605,0,1
857,0.848,0,1
858,0.518,0,1
859,0.207,0,1
860,0.8,0,1
861,0.693,0,1
862,0.78,0,1
